Id,PostId,Score,CreationDate,UserId
73675,190,1,2020-02-22T00:03:35.000,90502
1207,191,0,2014-06-10T08:45:00.260,11
1466,191,0,2014-06-20T06:19:47.490,84
165,197,0,2014-05-27T13:53:22.987,275
193,197,0,2014-06-06T14:56:59.903,375
2511,197,0,2014-10-21T17:36:54.457,275
25680,199,0,2017-08-10T00:18:50.873,17777
98588,199,0,2021-05-10T21:27:07.717,117481
1604,200,0,2014-06-26T04:41:26.317,84
1465,202,0,2014-06-20T06:15:57.220,84
1271,203,1,2014-06-12T16:56:07.723,50
1653,203,0,2014-06-30T10:45:17.277,265
158,204,2,2014-05-24T04:59:04.420,92
163,204,1,2014-05-27T13:37:09.423,250
1199,208,1,2014-06-09T21:55:20.937,403
159,209,0,2014-05-25T15:10:34.063,92
161,209,1,2014-05-27T00:00:55.560,159
109259,210,0,2022-01-17T14:19:30.637,131148
171,212,2,2014-05-28T02:37:14.990,92
162,213,0,2014-05-27T12:30:31.233,295
164,213,0,2014-05-27T13:38:22.867,59
166,213,0,2014-05-27T14:40:54.283,295
167,213,0,2014-05-27T14:53:03.520,59
168,213,0,2014-05-27T14:53:30.540,156
169,213,0,2014-05-27T15:08:46.697,295
170,213,0,2014-05-27T15:12:05.937,59
172,216,1,2014-05-29T13:52:18.137,297
1205,218,0,2014-06-10T08:15:35.330,471
178,220,0,2014-05-30T11:46:02.917,273
192,220,1,2014-06-03T15:01:16.907,250
1586,221,0,2014-06-25T10:13:45.667,1155
179,223,0,2014-05-30T20:47:32.157,318
186,223,0,2014-06-01T22:28:33.520,216
191,223,0,2014-06-02T16:59:48.337,227
1196,223,2,2014-06-09T13:09:03.373,387
1325,223,0,2014-06-14T08:09:09.150,227
1194,224,2,2014-06-09T10:43:11.727,227
23216,224,0,2017-06-26T02:41:57.380,122
184,229,0,2014-06-01T21:50:16.317,339
185,229,0,2014-06-01T21:55:28.310,339
188,229,1,2014-06-01T22:53:58.930,21
189,229,0,2014-06-01T23:07:22.743,339
190,229,0,2014-06-02T00:39:08.850,21
194,232,1,2014-06-08T16:56:17.433,133
1203,232,1,2014-06-10T06:11:12.453,375
1232,234,0,2014-06-11T02:22:39.393,62
1290,235,7,2014-06-13T07:26:14.520,471
1198,236,0,2014-06-09T20:58:14.230,141
1217,241,0,2014-06-10T16:41:45.913,386
1216,245,0,2014-06-10T16:38:53.567,386
1219,248,0,2014-06-10T19:31:58.813,386
1204,251,1,2014-06-10T07:06:17.757,84
1230,253,1,2014-06-11T02:19:34.887,62
6779,253,0,2015-07-09T02:01:40.770,10522
6824,253,0,2015-07-13T01:49:48.203,10638
6961,253,0,2015-07-24T21:29:47.357,
1598,264,3,2014-06-25T19:18:45.110,1193
2550,264,0,2014-10-29T07:17:00.650,4841
2555,264,2,2014-10-29T09:06:51.230,1193
6890,266,0,2015-07-17T00:49:46.610,10327
1208,271,0,2014-06-10T11:56:17.943,434
1212,272,5,2014-06-10T15:12:40.480,533
1254,272,1,2014-06-11T20:49:17.350,434
1210,274,5,2014-06-10T13:04:36.180,403
106014,282,0,2021-10-06T16:34:45.413,119921
1240,287,0,2014-06-11T09:14:36.593,133
1241,287,0,2014-06-11T09:36:33.673,108
1226,289,2,2014-06-10T23:58:32.280,615
1218,291,0,2014-06-10T19:23:53.090,560
1221,291,2,2014-06-10T20:59:51.017,381
35686,293,0,2018-04-17T19:42:48.923,50681
57828,293,1,2019-05-10T21:07:56.020,52273
74499,293,0,2020-03-09T13:11:50.677,91483
116775,293,0,2022-10-28T13:04:14.933,142130
1222,295,0,2014-06-10T21:42:57.950,560
1228,295,0,2014-06-11T00:12:25.993,386
1249,295,0,2014-06-11T16:15:30.020,560
1278,295,0,2014-06-12T20:46:56.670,386
1778,301,1,2014-07-15T09:33:38.703,791
1782,301,0,2014-07-15T19:12:57.530,609
1258,303,0,2014-06-12T04:38:42.697,122
1403,303,0,2014-06-17T22:14:55.200,609
1404,303,0,2014-06-17T22:30:15.820,122
1405,303,0,2014-06-17T22:42:58.523,609
1252,305,0,2014-06-11T19:17:18.213,21
1333,305,0,2014-06-16T03:46:01.843,534
1236,306,3,2014-06-11T07:47:01.247,14
1235,308,1,2014-06-11T07:40:08.317,496
1237,309,2,2014-06-11T08:41:41.310,646
1238,309,0,2014-06-11T08:56:18.213,638
5901,310,0,2015-04-12T20:27:06.180,462
5902,310,0,2015-04-12T20:33:17.840,462
7989,310,0,2015-10-10T23:15:02.403,7848
1253,311,1,2014-06-11T19:18:26.090,555
1244,313,0,2014-06-11T14:32:37.843,471
1245,313,3,2014-06-11T14:34:15.243,663
